dataset,n,m,ef_construction,threads,algorithm,n_parts,order,params,monolithic_build_calc,leaf_build_calc,budget_calc,merge_calc,merge_to_budget_ratio,total_calc,total_to_rebuild_ratio,net_advantage_calc,partition_wins
bigann100k,100000,16,200,1,CGTM,2,balanced,"{""jump_ef"":20,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":3,""search_ef"":40}",280698647,254160691,26537956,52382645,1.9738763980164862,306543336,1.0920727238133072,-25844689,False
bigann100k,100000,16,200,1,CGTM,2,balanced,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",280698647,254160691,26537956,47276736,1.7814761619169164,301437427,1.0738827216363462,-20738780,False
bigann100k,100000,16,200,1,NGM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,26537956,101600002,3.8284788022106904,355760693,1.2674114991370087,-75062046,False
bigann100k,100000,16,200,1,NGM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":20}",280698647,254160691,26537956,66180886,2.4938200214063206,320341577,1.141229501544409,-39642930,False
bigann100k,100000,16,200,1,NGM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":10}",280698647,254160691,26537956,47185483,1.7780375775737967,301346174,1.0735576292250528,-20647527,False
bigann100k,100000,16,200,1,TWO_MERGE,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":1,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,26537956,7620091,0.28713933356434834,261780782,0.9326043598635515,18917865,True
bigann100k,100000,16,200,1,TWO_MERGE,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":2,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,26537956,10217593,0.3850180850401591,264378284,0.9418580631776255,16320363,True
bigann100k,100000,16,200,1,TWO_MERGE,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,26537956,14773071,0.5566770477726318,268933762,0.958087133209445,11764885,True
bigann100k,100000,16,200,1,TWO_MERGE,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":10,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,26537956,27547676,1.0380481450794476,281708367,1.003597167320867,-1009720,False
bigann100k,100000,16,200,1,TWO_MERGE,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":20,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,26537956,47654615,1.795715352003749,301815306,1.0752289304764622,-21116659,False
bigann100k,100000,16,200,1,SIGM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,26537956,153099590,5.76907995476366,407260281,1.4508808124037733,-126561634,False
bigann100k,100000,16,200,1,SIGM,2,balanced,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":48,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,26537956,54739663,2.0626932609278574,308900354,1.1004696933932852,-28201707,False
