dataset,n,dim,builder,algorithm,n_parts,m,ef_construction,threads,params,mono_build_calc,partition_build_calc,merge_calc,partition_total_calc,build_saving_calc,net_advantage_calc,merge_to_budget_ratio,partition_wins,run_key,build_saving_per_point,merge_per_point,net_advantage_per_point
bigann10k,10000,128,hnswmerger,SIGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",19031205,15868251,10820637,26688888,3162954,-7657683,3.4210541790996642,False,68984e70dbe5,316.2954,1082.0637,-765.7683
bigann10k,10000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",19031205,15868251,1033751,16902002,3162954,2129203,0.3268308676003508,True,a533869c0551,316.2954,103.3751,212.9203
bigann10m,10000000,128,hnswmerger,CGTM,2,16,32,1,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",9721310055,9210526944,5059122928,14269649872,510783111,-4548339817,9.90464018689921,False,772d1516352b,51.0783111,505.9122928,-454.8339817
bigann10m,10000000,128,hnswmerger,IGTM,2,16,32,1,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",9721310055,9210526944,3560915563,12771442507,510783111,-3050132452,6.971482584904809,False,df9b5d46bb33,51.0783111,356.0915563,-305.0132452
bigann10m,10000000,128,hnswmerger,SIGM,2,16,32,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",9721310055,9210526944,5136649649,14347176593,510783111,-4625866538,10.056420305173324,False,cd1426045ddf,51.0783111,513.6649649,-462.5866538
bigann10m,10000000,128,hnswmerger,TWO_MERGE,2,16,32,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",9721310055,9210526944,1612875205,10823402149,510783111,-1102092094,3.157651790487646,False,23a2b41c9920,51.0783111,161.2875205,-110.2092094
bigann10m,10000000,128,hnswmerger,CGTM,2,16,64,1,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",19391767013,18282992074,6017285366,24300277440,1108774939,-4908510427,5.426967326143723,False,ff9220b6473a,110.8774939,601.7285366,-490.8510427
bigann10m,10000000,128,hnswmerger,IGTM,2,16,64,1,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",19391767013,18282992074,4435036322,22718028396,1108774939,-3326261383,3.999942789110965,False,66ef6d7e64b8,110.8774939,443.5036322,-332.6261383
bigann10m,10000000,128,hnswmerger,SIGM,2,16,64,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",19391767013,18282992074,10279090042,28562082116,1108774939,-9170315103,9.270673137030562,False,8f73185d2a36,110.8774939,1027.9090042,-917.0315103
bigann10m,10000000,128,hnswmerger,TWO_MERGE,2,16,64,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",19391767013,18282992074,2035051045,20318043119,1108774939,-926276106,1.8354049802346768,False,0442a25e17bf,110.8774939,203.5051045,-92.6276106
bigann10m,10000000,128,hnswmerger,CGTM,2,16,200,1,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",45127233081,42707266981,6646351186,49353618167,2419966100,-4226385086,2.7464645831195735,False,9231235a1c34,241.99661,664.6351186,-422.6385086
bigann10m,10000000,128,hnswmerger,IGTM,2,16,200,1,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",45127233081,42707266981,5023845875,47731112856,2419966100,-2603879775,2.075998450970036,False,0351db1613fa,241.99661,502.3845875,-260.3879775
bigann10m,10000000,128,hnswmerger,NGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":10}",45127233081,42707266981,6648408028,49355675009,2419966100,-4228441928,2.7473145297365944,False,2826c66d9715,241.99661,664.8408028,-422.8441928
bigann10m,10000000,128,hnswmerger,NGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":20}",45127233081,42707266981,9144503019,51851770000,2419966100,-6724536919,3.7787731898393124,False,f1caecab5d2a,241.99661,914.4503019,-672.4536919
bigann10m,10000000,128,hnswmerger,SIGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",45127233081,42707266981,23793012289,66500279270,2419966100,-21373046189,9.831960988627072,False,4dbabd354c69,241.99661,2379.3012289,-2137.3046189
bigann10m,10000000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":1,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",45127233081,42707266981,1262889370,43970156351,2419966100,1157076730,0.5218624219570679,True,fbd37304c5fb,241.99661,126.288937,115.707673
bigann10m,10000000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":10,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",45127233081,42707266981,4001659736,46708926717,2419966100,-1581693636,1.6536015673938573,False,f5ffa6d68968,241.99661,400.1659736,-158.1693636
bigann10m,10000000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":20,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",45127233081,42707266981,6345665984,49052932965,2419966100,-3925699884,2.622212759096088,False,f2c5650d914e,241.99661,634.5665984,-392.5699884
bigann10m,10000000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",45127233081,42707266981,2338024543,45045291524,2419966100,81941557,0.9661393781507931,True,50620d9c3bba,241.99661,233.8024543,8.1941557
bigann1m,1000000,128,hnswmerger,CGTM,2,16,32,1,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",802236542,739656444,437785171,1177441615,62580098,-375205073,6.995597402228421,False,5139377ce2d3,62.580098,437.785171,-375.205073
bigann1m,1000000,128,hnswmerger,IGTM,2,16,32,1,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",802236542,739656444,323016381,1062672825,62580098,-260436283,5.161647094256708,False,c90fd1415758,62.580098,323.016381,-260.436283
bigann1m,1000000,128,hnswmerger,SIGM,2,16,32,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",802236542,739656444,428245185,1167901629,62580098,-365665087,6.843152994103653,False,3e7ee969f406,62.580098,428.245185,-365.665087
bigann1m,1000000,128,hnswmerger,TWO_MERGE,2,16,32,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",802236542,739656444,136649924,876306368,62580098,-74069826,2.183600351664518,False,db4bf2f4f0be,62.580098,136.649924,-74.069826
bigann1m,1000000,128,hnswmerger,CGTM,2,16,64,1,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",1577688044,1451271692,519330321,1970602013,126416352,-392913969,4.108094505052637,False,88f35927f353,126.416352,519.330321,-392.913969
