node_id,degree,neighbours
76,19,12956 13300 14734 21551 38825 30585 15696 23081 27635 25423 16486 9065 37358 24196 25155 8119 29614 44665 47067
77,31,1303 102 13533 100 121 16948 1527 157 2325 188 14577 17148 7313 10394 17910 20612 21543 25973 27473 30226 30838 31065 31119 31566 31739 32928 38381 39936 41047 43579 48398
78,15,14971 2494 8030 17022 14715 22855 15284 9215 6207 1976 33997 37235 41653 49093 49511
79,30,74 1569 7432 16171 1709 15714 11994 15141 187 8631 7523 17232 14125 226 17825 17827 20541 23833 25282 30140 30284 30825 31720 40585 41194 42516 42561 44219 44259 46148
80,29,4214 88 4521 3783 9063 6231 141 3910 9406 7340 9492 10343 10389 12271 13341 13784 13849 14923 14985 15560 17055 20594 20599 21543 31540 36731 36777 40281 46722
81,12,1845 5060 14600 13421 15097 19844 6300 36830 41804 5423 45795 49663
82,25,864 10181 3644 766 9810 1134 9205 11456 1604 13827 15034 3710 9831 12248 2611 18635 19871 26030 26614 26707 27632 33799 37864 42966 46582
83,27,35898 27494 9571 1734 16982 30710 29965 8091 4779 9112 12493 35948 5772 14095 32156 7674 37174 15985 7102 36924 38175 40423 41040 42981 43049 43260 48156
84,23,4172 903 14629 82 83 6084 706 723 5854 4902 197 8227 5976 14111 17678 19771 21188 21860 22475 32039 32981 37882 49502
85,22,2183 4908 6700 5676 10552 9319 119 13181 14610 16931 17206 18304 20050 20473 20924 24039 31709 32250 32366 32461 40238 42442
86,22,286 8186 21966 22354 6922 7238 582 1518 13918 24902 2267 10687 2032 15133 33965 35829 36221 36327 37389 37788 48268 49700
87,30,3961 8520 2374 8145 12536 2399 15544 5553 9526 7651 15577 13917 15759 15809 16858 18183 18833 22013 24507 26567 27056 27168 27440 29051 34075 35557 35874 39121 45990 49701
88,27,3991 7010 116 20348 9127 12761 7101 12369 13345 12432 12348 12235 4298 24913 33045 33310 36991 37048 37101 39086 40108 43228 45119 45490 46568 49703 49991
89,22,2399 7714 4633 16712 13110 20107 9229 15386 12639 15882 1029 21867 1258 17284 24818 24888 25849 25968 27457 29445 34722 44175
90,29,23784 38345 5500 8504 5432 8228 33256 225 12735 17820 14432 34363 17239 35066 182 17792 14735 14882 27815 14419 378 28698 39102 40907 43249 45790 48686 48816 49894
91,26,4528 9351 4078 2020 11775 8196 10715 8228 15614 16027 9373 2518 16195 21282 21467 21585 22486 22845 26257 27381 27477 34109 35399 35800 36469 39853
92,23,24143 14972 454 25241 14833 13626 17683 8850 9638 8831 27556 28117 28677 35531 37123 39401 39850 43605 45909 46196 49170 49641 49883
93,25,481 16230 14790 8115 226 194 274 8228 16214 8830 9638 9395 20525 21173 23664 24249 28145 32507 35640 41145 44605 45783 48295 48870 49554
94,22,7216 12896 28707 146 1035 21390 35251 13006 8143 5055 15678 34821 8183 24017 36000 676 4235 37489 41715 42202 44452 44482
95,22,2920 30358 14038 11916 12943 2643 14124 30348 26124 18888 6232 11541 330 21510 33280 33813 37619 38475 38950 41246 41757 49433
96,30,2544 8375 7097 18930 22157 1919 8147 24513 8647 21929 15136 7848 2871 6320 10071 19298 8244 3841 14497 21960 23600 29043 31265 35412 35542 38366 38624 39119 48167 48934
97,26,4921 9862 35399 14522 21435 24486 9661 4178 11824 6396 2497 10243 24199 24196 36163 38623 38759 40901 42722 44619 45669 47059 47115 48801 49364 49795
98,25,10336 272 24275 11863 32933 18220 411 15586 34749 26028 35954 16269 4634 13625 24242 17591 37235 15081 150 38101 38480 39067 40058 42192 46225
99,31,947 5439 73 119 1330 1902 11167 5541 12727 124 7563 158 239 17155 17945 19501 21570 22120 22861 27969 29714 30182 33206 33375 38594 39405 39731 40155 48432 49353 49780
100,22,166 20522 31070 9421 46764 17040 43473 29668 19383 14491 34147 41355 25691 28498 46041 25075 49358 39230 20612 25983 29123 48538
101,23,5150 475 6984 6231 3639 7141 7617 9102 9470 10032 11150 13044 13176 14186 18775 19564 22187 30227 30761 33061 44423 45659 46531
102,27,30110 8774 14579 7277 13314 7558 22771 21510 14187 13136 1906 21915 287 30226 17149 30459 30611 31144 32455 32928 37116 41887 46628 47594 48394 49353 49467
103,15,13648 28393 21234 20379 30689 31703 14706 19026 26446 11826 20928 46207 49356 49751 49893
104,16,130 9023 5952 4972 7009 157 18706 19376 20001 21118 29190 36825 37082 38673 45104 49707
105,28,9488 3257 21817 14674 9507 13413 14491 11179 10321 13427 10097 15871 7551 16876 24095 24858 24926 25905 25930 26083 28498 29123 31709 32573 36908 37847 38387 48520
106,21,811 7463 353 198 188 6374 11155 2495 241 12224 13176 13306 13341 14192 16224 16841 30879 31787 37047 38698 39413
107,19,14848 10144 29416 40619 799 10465 47377 12391 25292 12087 49519 21960 65 9999 19669 18022 4094 3875 14951
108,14,29768 6364 6386 14617 6917 11717 6768 12881 27901 31223 33594 34010 38162 48386
109,31,1507 1670 3433 7810 2708 92 8269 5627 8821 8940 8944 9279 12230 13087 13765 13901 14152 15051 15072 15548 16358 20935 21539 28677 29322 35972 35997 36022 38714 44260 45909
110,31,74 5696 7809 9527 8279 126 9519 5628 12406 12438 15425 15826 16727 18935 20212 22507 24667 27687 33667 33871 34119 35996 36211 38203 38713 41718 41889 45646 47411 47564 48635
111,10,5530 30829 24830 21076 48478 40994 2689 44275 10329 32376
112,27,6412 3070 6514 9460 4619 245 13913 13321 5101 12127 14506 8305 100 15012 8288 16551 16687 16735 21565 23998 25147 25983 29215 36692 37389 44276 48915
113,32,1347 6862 11979 19227 8122 8431 13984 9806 6969 7372 9471 8115 9299 15817 19410 19980 22856 23940 27276 29363 31652 33950 35040 35075 36329 36541 37136 40727 41807 47363 47583 48106
114,16,64 1652 3400 37630 7352 30190 226 117 19628 11161 4964 32575 5711 116 45500 49115
115,18,2308 31289 30002 1220 36090 30716 28443 16578 29686 37096 23623 9074 37141 184 39152 39654 46186 46483
116,28,9070 21522 23218 12393 22514 29495 38984 11584 8013 22018 32909 45886 42466 7935 21077 47530 9689 114 487 9660 23287 45867 28337 16795 16200 14879 33756 48813
117,30,16806 12539 27858 660 9878 4901 114 6544 25374 28038 7687 10066 205 17876 13485 13875 6627 274 27780 31791 31908 37061 38124 39172 39472 39490 39724 39746 44222 48782
118,32,2943 6470 132 10733 20073 19122 6758 7851 20323 9088 1474 17996 27530 164 13306 27779 27796 27818 27823 28120 28990 29118 29119 31361 31779 38119 39483 41749 46484 46559 47804 48540
119,25,2498 39510 35139 38349 45442 11675 40049 40737 35329 36632 4703 23194 22861 26276 28567 28807 39681 13615 16837 36920 35465 2325 20017 42595 85
120,19,21584 24080 4532 12535 38807 20598 8571 35636 39450 48417 30950 8857 332 119 29067 48324 46719 31076 49923
121,28,8158 4299 13744 297 8448 8233 12192 8858 216 278 153 242 77 239 13777 13849 13906 15971 16302 17040 20611 25147 28284 37129 39078 39615 39935 46463
122,32,8879 11974 36123 15704 36297 5617 13626 48276 21649 42444 33892 37534 47559 35684 35669 18532 40643 47627 14959 33314 48318 1918 25688 35071 26608 11666 22809 20197 21061 19906 47224 39324
123,30,33 76 118 14669 17542 117 14914 14735 16285 328 360 5441 22763 28045 28093 28094 28135 28744 29504 29732 31791 33168 36622 36813 38592 39188 44454 46730 47546 48872
124,19,15391 34361 21662 18773 412 16555 19033 31462 183 8842 31018 40318 41236 44442 30392 18706 29067 46375 46623
125,30,1136 13087 3223 1229 9638 9585 2265 8856 7598 339 2993 14165 14456 14740 14905 15441 17419 17753 17760 19588 22128 23385 28677 29281 30715 36621 36646 37226 46484 47816
126,30,4129 7523 9637 10057 15442 3131 14741 6601 9435 243 358 115 6672 17420 20603 22223 22763 23386 25149 29686 30397 36622 36647 37225 38013 40574 41145 41233 41292 46765
127,20,7463 12058 30091 30166 46507 3925 45298 18466 10510 30219 10251 31250 22666 362 29003 43081 35544 7860 68 20098
128,32,796 82 425 1073 3867 368 2972 1739 8734 1904 8190 2285 9469 11515 11834 12141 15406 15563 15828 15877 16363 18465 19137 20296 20364 21621 23516 33540 34451 34885 35990 37462
129,22,16258 19589 12041 1369 33100 28006 18169 4718 31559 176 30072 24839 3761 37559 3005 16084 31481 29314 37763 39761 40176 40459
130,28,104 3433 23038 5647 7352 28005 4340 27258 21223 15707 304 21301 19920 12448 15449 30574 29902 11161 31344 31480 31530 37560 40177 40458 40534 40546 41563 47731
131,32,2652 1717 123 207 163 4006 6629 2623 2200 4000 311 7312 7561 10669 11148 12081 14590 14776 15313 20471 30303 30648 33365 36708 36994 37212 37232 39034 42154 46554 46770 48560
132,28,541 3436 5903 1044 15875 19606 118 17888 8821 296 11799 6359 2424 9849 2567 7909 20251 20439 21699 22929 27114 27201 27753 33008 34244 44257 44669 47590
133,21,9566 11452 15675 11470 7170 8149 11800 15263 2973 7570 15999 10711 20252 21947 23200 23650 29334 33953 34242 39263 40081
134,29,564 87 4023 1029 4221 1548 776 117 4317 295 3195 4923 7154 7380 7724 8148 10712 17079 17860 18457 20253 23760 24978 29698 33954 37763 38440 39120 39264
135,17,4246 7717 4155 29782 29509 23351 21684 26335 20365 1863 34074 18961 38385 36171 33741 46297 47213
136,14,3473 16154 29781 28834 16133 15041 22285 34478 31765 38042 36137 43821 45300 46367
137,19,95 27484 15299 2972 14894 35397 13745 29686 31214 36790 20412 16838 28122 36962 373 31780 13163 44358 44627
138,20,6955 10242 1764 9674 23677 12988 7845 19395 8694 21178 11909 15069 24260 28118 30464 30994 38652 40065 44249 48604
139,22,2890 742 12943 166 403 4771 2619 214 20635 14363 12987 25358 28119 30141 30148 30183 31520 31598 37994 38295 39844 49610
140,20,181 1315 1585 1935 11985 5099 6336 286 4195 4779 16475 202 21821 19905 22921 25614 40995 42013 42921 43109
141,24,118 111 98 104 80 144 151 236 273 298 325 336 579 3375 7010 7288 7293 7313 7358 7473 7480 30862 39091 46164
142,21,16823 248 706 9220 6702 14125 17699 19809 6540 13128 19333 304 13613 14128 22789 27812 28538 32096 39417 41937 49465
143,32,1325 705 1474 359 1515 6703 6602 8177 8702 9445 9697 11955 14163 14411 17143 17912 17947 18668 18770 21204 21723 21838 23948 31778 32076 34450 37525 39574 41831 43002 46609 48505
144,25,2646 161 7262 78 7501 7356 4066 8493 9725 12233 14131 14308 14490 17821 18662 19326 19478 19739 30505 32380 32829 38488 38963 48442 48443
145,30,3010 4198 6118 13091 5291 18324 3138 12552 5258 5888 11505 10180 18204 15344 898 18231 18679 18816 20992 22924 23070 24026 25514 28514 34086 34266 36204 42268 45481 47837
146,15,1411 2456 1777 30668 94 568 22479 682 44525 227 103 24927 14680 42998 45106
147,29,6516 7879 3884 12267 10187 13246 5126 9721 1542 11965 7199 6904 20193 8342 15060 3716 15207 14593 22265 22269 24435 25748 28837 32832 34106 34327 34459 40069 48647
148,32,2242 3288 3340 1653 2359 1058 3349 3472 3867 4147 4384 4952 5501 6211 6224 8064 10056 11448 11978 13037 15253 16508 20380 20624 20706 22277 22876 24908 28333 31093 40072 49461
149,31,3434 3255 17549 16800 1799 5032 3341 18681 14704 1832 20381 1059 20400 20467 23312 25070 25477 28334 30046 31326 33569 34036 34916 36330 37702 39635 40695 41149 43996 47383 49144
150,23,184 19265 5575 8282 268 34073 13166 5565 14135 2342 7699 27973 33728 11951 98 15089 37552 37853 37922 38429 39158 48774 48791
151,18,7546 6436 4497 11167 17148 7528 290 13341 6816 18265 25776 25974 26720 32996 33530 39706 40313 49603
152,14,6469 17097 9433 30463 15657 5676 39420 124 13744 14610 45713 242 20002 315
153,23,6422 319 7845 119 19558 32649 13743 19388 31109 13295 369 121 157 341 16928 31075 33949 38907 39933 46288 46756 46763 49707
154,15,82 5997 16824 14237 10833 22625 31484 8879 33317 15666 44960 29834 24859 38729 30543
155,20,23858 30812 29988 7445 10834 21506 11994 29728 25265 13996 17911 9488 31667 5662 5012 31783 32269 33585 43516 48401
156,19,2368 1655 42076 118 32076 12418 39732 10833 32230 10250 13551 14220 9058 7255 17596 8946 5013 47588 49635
157,26,15075 466 5307 247 475 356 250 324 153 19994 13353 77 239 7473 104 27791 29525 33453 36308 37041 38054 38381 39110 40318 40437 48915
158,29,378 29727 18595 33727 17199 1300 16708 10275 30196 12430 7590 6400 23378 30313 22351 9091 23681 39399 39915 36632 9207 28567 30249 99 40286 42679 44375 45297 45826
159,30,3768 29560 8381 30163 19389 13548 19627 22239 24557 9433 13202 24386 15261 18304 5951 11771 9978 20043 14791 30254 30279 33999 35610 36207 37078 39213 39395 41128 44458 49876
160,15,8379 13007 1493 3131 10701 27529 25241 36913 12353 45012 46502 46514 46730 46749 48657
161,10,4891 32883 1494 16516 34118 5684 317 38222 40191 46750
162,23,1183 19742 379 320 25265 14435 10973 27777 347 252 14412 237 29114 31197 31290 32949 38446 40316 41234 41754 42488 46373 46484
163,30,3142 115 8887 182 8278 8686 10391 305 12033 13490 13779 13867 14115 17122 17683 19876 19986 21204 21838 22241 27778 28120 31289 37141 37177 39034 39238 44211 46559 48632
164,29,1184 2241 1472 14493 367 28117 21954 118 23733 210 6541 5481 195 14104 329 7053 8944 30648 5013 10256 37127 12033 40132 43882 45776 45914 46203 46559 49376
165,25,22425 12258 29293 25496 37286 7991 16856 2312 15270 20137 16312 17388 2066 3293 25453 8173 22500 4991 45701 23999 17159 15896 34778 46038 48224
166,15,7238 15140 20618 19872 18516 30225 219 12535 13748 12206 2089 31561 39214 48694 13311
167,31,20862 15969 16166 10594 2653 38 13225 8230 16745 4296 9354 4115 16286 7851 1916 18481 1214 14625 252 375 28428 29478 34097 35397 39550 42472 42523 44259 46002 47691 47771
168,30,469 7139 548 8177 2567 39 6321 13160 16165 4094 16481 3356 362 244 4720 16265 1215 16746 17845 19122 21408 22485 22993 23146 23407 23591 32785 43697 44602 47518
169,23,256 22339 8842 15240 39739 40800 7690 39045 30611 236 32455 27601 240 41985 9423 26429 23569 14723 14187 41246 3248 48457 49442
170,17,11826 4291 3952 340 13273 90 308 243 27747 27809 27815 30195 30571 31882 39472 39861 41388
171,18,11845 10095 3210 17696 18196 6713 5943 16916 17436 12503 7624 19691 19839 26193 26219 33444 44801 49027
172,22,891 1007 2677 9437 14816 10153 12598 1479 18140 20904 23083 23757 25954 26338 26422 32664 32688 33260 33297 36572 37679 43019
173,28,13744 22040 13321 20259 369 14701 9060 8109 229 14313 17898 11741 3559 10329 29190 32050 32484 32649 33590 35241 36477 37585 45810 46093 46105 46828 48482 48612
174,23,1170 9492 13495 192 13496 7099 7500 7101 11055 6607 7242 17348 20673 30281 30912 31271 31412 32992 33068 33331 36778 39004 48631
175,18,377 1525 84 3500 39974 23950 14147 31452 15817 9806 23926 29506 18303 177 39311 31568 40499 49186
176,27,2498 2399 4215 322 6844 8887 129 9862 12058 13039 13666 14172 14277 14582 18157 18302 19852 21501 21993 22764 29870 30385 34212 37639 39982 40459 49033
177,17,5637 20411 19410 21223 175 4553 296 28044 17390 14111 23989 41354 39171 18704 3891 41835 48794
178,32,14140 305 14766 14419 358 9472 16285 359 243 9586 17876 18290 20934 27815 28467 29686 31188 31233 31722 32490 33156 34079 35807 36095 37525 39172 39771 41145 41233 41834 46365 48464
179,24,244 8177 13295 232 9689 3275 208 220 308 12512 7026 14110 14217 15990 20602 27743 27811 29934 31784 36602 36635 36737 45914 46189
180,28,4722 7744 102 9319 4149 120 3445 4821 13325 2996 7499 13538 14260 15262 19594 20317 20554 22861 24390 32250 36941 37068 37334 40784 40898 45661 46719 48423
181,29,1717 5552 2232 5475 7240 1517 1498 4433 4373 5073 9221 2344 8379 11688 12019 12223 12241 14158 14267 14311 18438 19391 19930 22812 27266 32809 36939 37733 48579
182,25,3170 15838 20295 4718 15786 5494 9210 14678 14669 6457 90 21267 14793 19926 11864 27537 27807 29353 29886 30868 32420 37781 38125 38464 40911
183,16,3205 124 120 33066 250 3892 29313 278 20596 20611 37039 41335 43842 45957 46633 49125
184,17,12917 4609 11910 9157 10980 30026 33667 17908 37223 32933 5120 38169 9210 38551 115 41276 48464
185,21,3005 4026 8331 30587 23034 14848 35656 11549 36879 294 12645 12039 29244 14894 10237 44936 39102 12114 47621 48686 49894
186,23,266 896 10098 17981 11992 9957 19727 21537 23278 10800 16781 9207 20866 24405 23895 12382 27626 29971 37618 43949 44284 44582 49398
187,27,16043 9414 21802 6486 16398 15969 23671 9354 13048 17295 24757 16329 4940 6936 14653 25282 21544 8504 25321 27618 29361 31616 34772 37480 42873 44609 49005
188,19,138 18176 7657 9264 8692 20609 215 28989 7144 346 6978 30101 30878 33278 41045 46762 47594 48671 49998
